language,question,option a,option b,option c,option d,correct
AWS,What is the purpose of Amazon RDS?,Host web applications,Run virtual machines,Store unstructured data,Manage relational databases,option d
AWS,Which AWS service is serverless?,Lambda,EC2,ECS,S3,option a
AWS,Which AWS service is used for DNS management?,CloudFront,Route 53,CloudWatch,VPC,option b
AWS,What is AWS IAM used for?,Monitoring,Networking,Access control,Storage,option c
AWS,Which service automatically distributes incoming traffic across multiple targets?,Load Balancer,Auto Scaling,Route 53,CloudFront,option a
AWS,Which AWS service allows you to run code in response to events without provisioning servers?,Lambda,ECS,EC2,CloudTrail,option a
AWS,Which AWS service is used for monitoring resources and applications?,CloudTrail,CloudFormation,CloudWatch,Elastic Beanstalk,option c
AWS,Which type of load balancer is best suited for handling HTTP and HTTPS traffic?,Application load balancer,Key value,Document,Search,option a
AWS,Which AWS service is used for message queueing and processing?,Amazon S3,Amazon SQS,Amazon EC2,Amazon RDS,option b
AWS,What is AWS CloudTrail used for?,Managing servers,Storing and retrieving data,Monitoring API activity,Running serverless code,option c
AWS,Which AWS service can be used for real-time messaging and streaming?,Amazon Kinesis,Amazon RDS,Amazon S3,Amazon EC2,option a
AWS,What is AWS Elastic Beanstalk used for?,Managing containers,Running serverless code,Automating infrastructure deployment,Deploying and scaling web applications,option d
AWS,Which AWS service is used for managing and monitoring infrastructure and application performance?,Amazon CloudFront,Amazon CloudWatch,Amazon S3,Amazon EC2,option b
AWS,What is Amazon Route 53 used for?,Content delivery,Monitoring API activity,DNS management,Running serverless code,option c
AWS,Which AWS service is used for managing and storing relational databases?,Amazon RDS,Amazon S3,Amazon Kinesis,Amazon EC2,option a
AWS,What is AWS Glue used for?,Storing and retrieving data,Deploying and scaling web applications,Running serverless code,"Extracting, transforming, and loading (ETL) data",option d
AWS,Which AWS service is used for managing and securing access to APIs?,Amazon API Gateway,Amazon SQS,Amazon S3,Amazon EC2,option a
AWS,What is AWS Step Functions used for?,Monitoring application performance,Running serverless code,Automating infrastructure deployment,Coordinating distributed applications and microservices,option d
AWS,Which AWS service is used for managing and storing NoSQL databases?,Amazon DynamoDB,Amazon RDS,Amazon S3,Amazon EC2,option a
AWS,Which AWS service is used for content delivery and caching?,Amazon CloudFront,Amazon S3,Amazon EC2,Amazon RDS,option a
React,What is React?,A backend framework,A JavaScript library for building user interfaces,A database,A server,option b
React,Who developed React?,Google,Microsoft,Facebook,Twitter,option c
React,What is a component in React?,A server,A part of UI,A database,A library,option b
React,Which method is used to create a component?,React.make(),React.create(),React.component(),React.createElement(),option d
React,Which hook is used for state in functional components?,useEffect,useState,useContext,useReducer,option b
React,Which hook is used for side effects?,useRef,useEffect,useState,useMemo,option b
React,What is JSX?,JavaScript XML,Java Standard,A backend framework,A CSS library,option a
React,Which function is used to change the state?,setState,useState,changeState,mutateState,option a
React,What is the default port number for running React app?,3000,8000,5000,8080,option a
React,Which command creates a new React app?,create-react-app myapp,new-react myapp,react-create myapp,build-react myapp,option a
React,Which keyword is used to export a component?,send,export,public,share,option b
React,What prop is mandatory in a list rendering?,id,key,name,class,option b
React,Which file holds the main React component structure?,App.js,Index.html,Server.js,Main.jsx,option a
React,Which hook is used to refer a DOM element?,useRef,useDOM,useState,useEffect,option a
React,What is the correct way to write a comment inside JSX?,{/ comment /},// comment,<!-- comment -->,* comment *,option a
React,Props are __________ in React.,Mutable,Immutable,Static,Optional,option b
React,What does virtual DOM do?,Directly manipulates real DOM,Optimizes DOM updates,Replaces real DOM,Slows down rendering,option b
React,What is lifting state up?,Passing state to children,Moving state to a common ancestor,Deleting state,Resetting state,option b
React,What is context API used for?,Database connection,Prop drilling avoidance,State storage,Routing,option b
React,What does useEffect hook depend on?,State,Props,Dependency array,Context,option c
React,What is React Router used for?,Navigation between pages,Data fetching,Animation,State Management,option a
React,Which of the following is NOT a valid React lifecycle method?,componentDidMount,componentWillUpdate,componentDestroy,shouldComponentUpdate,option c
React,Which hook is used for performance optimization by memoizing?,useMemo,useEffect,useReducer,useLayoutEffect,option a
React,What is the use of 'React.Fragment'?,Sending API request,Grouping elements without extra DOM node,Styling components,Handling events,option b
React,Which of the following is correct about keys in React?,They must be globally unique,They must be unique among siblings,They can be duplicated,They are optional,option b
React,How do you pass a method to a child component?,Using 'method' attribute,Passing it as a prop,Using special method,Using event,option b
React,What is the command to build a production React app?,npm run build,npm run prod,npm prod build,react-build,option a
React,What is the purpose of 'StrictMode' in React?,Improve performance,Highlight potential problems,Block errors,Handle events,option b
React,What is the role of Redux?,Routing,State Management,Component rendering,Styling,option b
React,What is a pure component?,Component that never updates,Component that does shallow comparison of props and state,Component without props,Component without state,option b
Azure,What is Microsoft Azure?,A cloud computing platform,A programming language,An operating system,A database management system,option a
Azure,Which of the following is a service offered by Azure?,Azure Blob Storage,Azure SQL Database,Azure Virtual Machines,All of the above,option d
Azure,What does IaaS stand for in Azure?,Infrastructure as a Service,Internet as a Service,Integration as a Service,Information as a Service,option a
Azure,Which Azure service is used for managing virtual machines?,Azure Virtual Machines,Azure App Service,Azure Functions,Azure Kubernetes Service,option a
Azure,What is Azure Active Directory used for?,Identity and access management,Data storage,Networking,Compute resources,option a
Azure,Which Azure service provides a platform for building and deploying web applications?,Azure App Service,Azure Blob Storage,Azure SQL Database,Azure Virtual Network,option a
Azure,What is the purpose of Azure Blob Storage?,Object storage for unstructured data,Relational database management,Virtual machine hosting,Content delivery network,option a
Azure,Which Azure service is used for creating and managing virtual networks?,Azure Virtual Network,Azure Load Balancer,Azure VPN Gateway,Azure ExpressRoute,option a
Azure,What does PaaS stand for in Azure?,Platform as a Service,Private as a Service,Public as a Service,Professional as a Service,option a
Azure,Which Azure service provides a fully managed relational database?,Azure SQL Database,Azure Blob Storage,Azure Virtual Machines,Azure App Service,option a
Azure,What is Azure Functions used for?,Serverless compute service,Virtual machine management,Networking,Data storage,option a
Azure,Which Azure service is used for building and deploying containerized applications?,Azure Kubernetes Service,Azure App Service,Azure Functions,Azure Blob Storage,option a
Azure,What is the purpose of Azure Key Vault?,Managing secrets and keys,Data storage,Virtual machine hosting,Content delivery network,option a
Azure,Which Azure service provides a content delivery network?,Azure CDN,Azure Load Balancer,Azure VPN Gateway,Azure ExpressRoute,option a
Azure,What is Azure DevOps used for?,Continuous integration and delivery,Data storage,Networking,Virtual machine hosting,option a
Azure,Which Azure service is used for monitoring and diagnostics?,Azure Monitor,Azure App Service,Azure Functions,Azure Blob Storage,option a
Azure,What is Azure Resource Manager?,Management layer for Azure resources,Virtual machine management,Data storage,Networking,option a
Azure,Which Azure service provides a managed Kubernetes environment?,Azure Kubernetes Service,Azure App Service,Azure Functions,Azure Blob Storage,option a
Azure,What is the purpose of Azure Load Balancer?,Distribute incoming network traffic,Data storage,Virtual machine hosting,Content delivery network,option a
Azure,Which Azure service provides a private connection to Azure services?,Azure ExpressRoute,Azure VPN Gateway,Azure Load Balancer,Azure CDN,option a
Azure,What is Azure Site Recovery used for?,Disaster recovery,Data storage,Virtual machine hosting,Networking,option a
Azure,Which Azure service provides a fully managed NoSQL database?,Azure Cosmos DB,Azure SQL Database,Azure Blob Storage,Azure App Service,option a
Azure,What is the purpose of Azure Traffic Manager?,Routing traffic to optimal endpoints,Data storage,Virtual machine hosting,Content delivery network,option a
Azure,Which Azure service provides a managed Redis cache?,Azure Cache for Redis,Azure App Service,Azure Functions,Azure Blob Storage,option a
Azure,What is Azure Logic Apps used for?,Automating workflows,Data storage,Virtual machine hosting,Networking,option a
Azure,Which Azure service provides a managed message queue?,Azure Service Bus,Azure App Service,Azure Functions,Azure Blob Storage,option a
Azure,What is the purpose of Azure Application Gateway?,Application-level load balancing,Data storage,Virtual machine hosting,Content delivery network,option a
Azure,Which Azure service provides a managed DNS service?,Azure DNS,Azure App Service,Azure Functions,Azure Blob Storage,option a
Angular,What is Angular?,A backend language,A JavaScript framework,A database,An operating system,option b
Angular,Who developed Angular?,Facebook,Google,Microsoft,Twitter,option b
Angular,What is the command to create a new Angular project?,ng new project-name,create-angular project-name,new-angular project-name,angular-create project-name,option a
Angular,Which decorator is used to define a component?,@Service,@Module,@Component,@Directive,option c
Angular,What is the default file extension for Angular templates?,.html,.css,.js,.ts,option a
Angular,Which file holds the main module of an Angular app?,app.component.ts,main.ts,app.module.ts,index.html,option c
Angular,What is two-way data binding syntax in Angular?,[()],(),[],{},option a
Angular,What is the purpose of a Service in Angular?,Manage routing,Share data across components,Create components,Handle CSS,option b
Angular,Which command is used to generate a component?,ng make component,ng component generate,ng generate component,ng create component,option c
Angular,What does CLI stand for in Angular?,Component Language Interface,Command Line Interface,Control Level Integration,Client Level Interface,option b
Angular,What is a module in Angular?,A collection of services,"A collection of components, services, pipes",A single component,A single service,option b
Angular,Which lifecycle hook is called after a component's view has been fully initialized?,ngOnInit,ngAfterViewInit,ngOnDestroy,ngDoCheck,option b
Angular,What is dependency injection?,Manual object creation,Injecting dependencies automatically,Using jQuery,Handling APIs,option b
Angular,Which directive is used to loop over items in Angular?,*ngIf,*ngFor,*ngLoop,*ngRepeat,option b
Angular,Which symbol is used for property binding?,(),{},[],[()],option c
Angular,Which pipe is used to format dates?,date,formatDate,calendar,moment,option a
Angular,Which command runs the Angular application?,ng run,ng start,ng serve,ng dev,option c
Angular,What does AOT stand for?,Ahead Of Time,After Output Template,Angular Output Template,All Of Template,option a
Angular,What is the purpose of HttpClientModule?,Handle component events,Connect to APIs,Manage routing,Handle CSS,option b
Angular,Which of the following is a structural directive?,ngClass,ngStyle,ngIf,ngModel,option c
Angular,What is interpolation in Angular?,Binding component to service,Binding expressions to the template,Routing management,Dependency Injection,option b
Angular,Which lifecycle hook is first called?,ngOnInit,constructor,ngAfterViewInit,ngDoCheck,option b
Angular,Which service is used for routing in Angular?,HttpService,RouterModule,RoutingService,NavigationService,option b
Angular,Which Angular decorator is used for dependency injection?,@Injectable,@Inject,@Service,@Component,option a
Angular,What is the use of ngOnDestroy?,Initialization,Cleanup before component is destroyed,Fetch data,Render template,option b
Angular,Which method is used to navigate to another page programmatically?,navigate(),goTo(),move(),redirect(),option a
Angular,What is lazy loading in Angular?,Loading CSS,Loading components on demand,Loading modules on demand,Loading services on demand,option c
Angular,What does the 'async' pipe do?,Makes service async,Automatically subscribes and unsubscribes Observables,Fetches data,Handles routing,option b
Angular,Which operator is used with observables?,pipe,map,filter,all of the above,option d
Linux,Which command is used to list all files and directories in the current directory?,ls,dir,pwd,mkdir,option a
Linux,Which command is used to change the current directory?,cd,mv,rm,cp,option a
Linux,Which command is used to create a new directory?,mkdir,touch,ls,rm,option a
Linux,Which command is used to remove a file?,rm,del,rmdir,touch,option a
Linux,Which command is used to display the current working directory?,pwd,ls,cd,echo,option a
Linux,Which command is used to view the contents of a file?,cat,ls,mv,cd,option a
Linux,Which command is used to copy files in Linux?,cp,mv,cat,ln,option a
Linux,Which command is used to move a file?,mv,cp,touch,rm,option a
Linux,Which of the following commands is used to search for a file?,find,grep,search,locate,option a
Linux,Which command is used to change file permissions?,chmod,chown,chgrp,ls,option a
Linux,What is the command to display the manual page for a command?,man,help,info,guide,option a
Linux,Which command is used to list all running processes?,ps,top,kill,bg,option a
Linux,Which command is used to terminate a process in Linux?,kill,stop,exit,end,option a
Linux,What does the 'chmod' command do in Linux?,Change file permissions,Change file owner,Change file name,Change file location,option a
Linux,Which command is used to display the system's memory usage?,free,mem,ram,ps,option a
Linux,Which command is used to display the disk usage in Linux?,df,du,disk,ls,option a
Linux,Which command is used to show the last few lines of a file?,tail,head,cat,more,option a
Linux,Which command is used to display all users on the system?,cat /etc/passwd,users,who,list,option a
Linux,Which of these is a Linux package manager?,apt,yum,pacman,all of the above,option d
Linux,Which command is used to view the available disk partitions?,fdisk,diskpart,lsblk,df,option a
Linux,Which command is used to compress files in Linux?,tar,gzip,zip,all of the above,option d
Linux,What does the 'grep' command do?,Searches for a pattern in a file,Removes files,Shows system logs,Shows running processes,option a
Linux,Which command is used to show system information?,uname,sysinfo,hostname,info,option a
Linux,Which of the following is the root user in Linux?,root,admin,superuser,user,option a
Linux,Which of these commands is used to create a symbolic link in Linux?,ln -s,link,symlink,ln,option a
Linux,Which command is used to install a package in Linux using apt?,apt-get install,yum install,pacman -S,rpm install,option a
Linux,Which command is used to display the network configuration in Linux?,ifconfig,ping,netstat,route,option a
Linux,Which command is used to update the system packages in Linux?,apt-get update,yum update,pacman -Syu,all of the above,option d
Linux,Which command is used to monitor system resources in real time?,top,ps,iotop,htop,option a
Linux,Which command is used to find the location of a command in Linux?,which,whereis,locate,find,option a
Linux,Which command is used to shut down a Linux system?,shutdown,poweroff,halt,reboot,option a
Linux,Which of these is a Linux file system?,ext4,ntfs,fat32,exFAT,option a
Google Cloud,What is Google Cloud Platform (GCP)?,A cloud computing service by Google,A search engine,A social media platform,A hardware product,option a
Google Cloud,Which service is used for scalable virtual machines in GCP?,Compute Engine,App Engine,Cloud Functions,Kubernetes Engine,option a
Google Cloud,What is the default storage class in Google Cloud Storage?,Standard,Nearline,Coldline,Archive,option a
Google Cloud,Which GCP service is designed for container orchestration?,Kubernetes Engine,Compute Engine,App Engine,Cloud Functions,option a
Google Cloud,What is BigQuery used for in GCP?,Data warehousing and analytics,Machine learning,Object storage,Virtual machines,option a
Google Cloud,Which service provides serverless compute capabilities in GCP?,Cloud Functions,Compute Engine,App Engine,Kubernetes Engine,option a
Google Cloud,What is the purpose of Google Cloud Pub/Sub?,Message queuing and real-time messaging,Data storage,Virtual machines,Machine learning,option a
Google Cloud,Which GCP service is used for managed Kubernetes clusters?,Kubernetes Engine,Compute Engine,App Engine,Cloud Functions,option a
Google Cloud,What is the primary use case for Google Cloud Spanner?,Global distributed relational database,Object storage,Data warehousing,Serverless compute,option a
Google Cloud,Which service provides a fully managed NoSQL document database in GCP?,Firestore,Bigtable,Cloud SQL,Cloud Spanner,option a
Google Cloud,What is the purpose of Google Cloud Identity and Access Management (IAM)?,Manage access to resources,Store data,Run virtual machines,Deploy applications,option a
Google Cloud,Which GCP service is used for real-time data analytics?,BigQuery,Cloud Storage,Compute Engine,Cloud Functions,option a
Google Cloud,What is the function of Google Cloud Load Balancing?,Distribute traffic across resources,Store data,Run virtual machines,Manage access control,option a
Google Cloud,Which service allows you to run Docker containers in GCP?,Kubernetes Engine,Compute Engine,App Engine,Cloud Functions,option a
Google Cloud,What is the purpose of Google Cloud Monitoring?,Monitor and manage cloud resources,Store data,Run virtual machines,Deploy applications,option a
Google Cloud,Which service provides a managed relational database in GCP?,Cloud SQL,Firestore,Bigtable,Cloud Spanner,option a
Google Cloud,What is the purpose of Google Cloud Storage?,Store and retrieve data,Run virtual machines,Deploy applications,Monitor resources,option a
Google Cloud,Which GCP service is used for machine learning model deployment?,AI Platform,BigQuery,Compute Engine,Cloud Functions,option a
Google Cloud,What is the primary use case for Google Cloud Bigtable?,Large-scale NoSQL database,Data warehousing,Relational database,Serverless compute,option a
Google Cloud,Which service provides a managed Apache Kafka service in GCP?,Pub/Sub,Dataflow,Dataproc,Cloud Pub/Sub,option d
Google Cloud,What is the purpose of Google Cloud Deployment Manager?,Manage infrastructure as code,Store data,Run virtual machines,Deploy applications,option a
Google Cloud,Which service provides a fully managed data pipeline in GCP?,Dataflow,BigQuery,Compute Engine,Cloud Functions,option a
Google Cloud,What is the purpose of Google Cloud Firestore?,Store and sync data for client- and server-side development,Run virtual machines,Deploy applications,Monitor resources,option a
Google Cloud,Which service provides a managed Hadoop and Spark service in GCP?,Dataproc,BigQuery,Compute Engine,Cloud Functions,option a
Google Cloud,What is the primary use case for Google Cloud Dataprep?,Data preparation and cleaning,Data storage,Machine learning,Data warehousing,option a
Google Cloud,Which service provides a managed Apache Beam service in GCP?,Dataflow,BigQuery,Compute Engine,Cloud Functions,option a
DevOps,What is DevOps?,A set of practices combining development and operations,A programming language,A cloud computing platform,A database management system,option a
DevOps,Which tool is commonly used for continuous integration?,Jenkins,Docker,Kubernetes,Terraform,option a
DevOps,What is continuous delivery?,Automated deployment of code to production,Manual deployment of code to production,Automated testing of code,Manual testing of code,option a
DevOps,Which tool is used for containerization?,Docker,Jenkins,Kubernetes,Terraform,option a
DevOps,What is Infrastructure as Code (IaC)?,Managing infrastructure using code,Managing infrastructure manually,Managing infrastructure using scripts,Managing infrastructure using GUI tools,option a
DevOps,Which tool is used for configuration management?,Ansible,Docker,Kubernetes,Jenkins,option a
DevOps,What is the purpose of a CI/CD pipeline?,Automating the software delivery process,Manual deployment of code,Automated testing of code,Manual testing of code,option a
